rank,title,year,description,geek_rating,avg_rating,num_voters,price,number_of_players,play_time,suggested_age,complexity,designers,artists,publishers,developer,categories,mechanisms,relationship901,Coal Baron,2013,"Mine coal, fulfill and deliver orders as you vie to become the top coal baron.",6.709,7.26,5394,,2–4–,60–75–,10+,2.54 / 5,Michael Kiesling / Wolfgang Kramer,Frédéric Brogard / Dennis Lohausen,C and C Publishing / eggertspiele / Delta Vision Publishing / Gigamic / Lacerta / Ludonova / Passe Ton Tour Games / Pegasus Spiele / R&R Games,Viktor Kobilke,Industry / Manufacturing / Trains / Transportation,Action Points / Area Majority / Influence / Contracts / Pick-up and Deliver / Set Collection / Tile Placement / Worker Placement,Reimplemented by: + 0more
902,Unstoppable,2025,"Gather your allies and sharpen your skills, for the darkest days are yet to come.",6.709,8.36,1892,$65.10,1–2–,30–90–,14+,2.98 / 5,John D. Clair,Cold Castle Studios / Giuseppe De Iure / Bryant Grizzle / Gunship Revolution / Damien Mammoliti / Pippi Maza / Fabian Parente / Jacopo Schiavo / Darko Stojanovic,Renegade Game Studios / GaGa Games / Gen-X Games (GenX) / Intrafin Games / Rexhry / Schwerkraft-Verlag,John Brieger / Jordan Johnson / Jordan M. A. Johnson,Card Game / Fantasy / Science Fiction,"Cooperative Game / Deck Construction / Deck, Bag, and Pool Building / Hand Management / Solo / Solitaire Game",Reimplemented by: + 0more
903,Dogs of War,2014,"Command a mercenary army in a steampunk-influenced renaissance universe,",6.709,7.52,3681,,3–5–,75,14+,2.64 / 5,Paolo Mori,Mathieu Harlaut / Christophe Madura / Edu Valls,Cool Mini Or Not / asmodee / Edge Entertainment / Pendragon Game Studio / Play to Z / Spaghetti Western Games,N/A,Abstract Strategy / Fantasy / Negotiation / Renaissance / Wargame,Area Majority / Influence / Hand Management / Tug of War / Variable Player Powers / Worker Placement,
904,Black Rose Wars: Rebirth,2023,"In the ruins of the Black Rose Lodge, mages battle to become the new Grand Magister.",6.709,8.38,2127,,1–4–,90–240–,14+,3.74 / 5,Andrea Colletti / Diego Fonseca / Marco Montanaro,Simone de Paolis / Angelica Donarini / Cristian Casado Otazu / Giovanni Pirrotta / Vincenzo Pratticò,Ludus Magnus Studio / Czacha Games / Hobby World / Intrafin Games / Pegasus Spiele / Rawstone / Ігромаг,Marco Presentino,Card Game / Fantasy / Miniatures,"Card Play Conflict Resolution / Deck, Bag, and Pool Building / End Game Bonuses / Hand Management / Modular Board / Scenario / Mission / Campaign Game / Simultaneous Action Selection / Solo / Solitaire Game / Variable Player Powers",
905,Blokus,2000,Fit your tiles on a shared board with not enough space for everyone.,6.708,6.86,29696,$17.99,2–4–,30,7+,1.73 / 5,Bernard Tavitian,Alan D. Hoch,"Educational Insights / Mattel, Inc. / (Unknown) / Alary Games / Beverly Enterprises, Inc. / danspil / Divisible By Zero (DBZ) Aust Pty Ltd / Educa Korea / Euro World / FoxMind Israel / Granna / Green Board Game Co. / Heidelberger Spieleverlag / Hodin / Kaissa Chess & Games / Korea Boardgames / Piatnik Distribution / QfreeGames / Ravensburger AG / Sekkoia / Super Impulse / Winning Moves France / Winning Moves Germany",N/A,Abstract Strategy / Territory Building,Chaining / Enclosure / Grid Coverage / Hand Management / Player Elimination / Square Grid / Tile Placement,Reimplemented by: + 5more
906,Creature Caravan,2024,Caravans of fantasy creatures travel through a dangerous land.,6.707,7.79,2714,,1–4–,60–90–,8+,2.43 / 5,Ryan Laukat,Ryan Laukat,Red Raven Games / Ghenos Games / Lucky Duck Games / Reflexshop / Rexhry / Schwerkraft-Verlag,N/A,Card Game / Fantasy / Travel,Hand Management / Modular Board / Movement Points / Multi-Use Cards / Set Collection / Simultaneous Action Selection / Worker Placement with Dice Workers,
907,K2,2010,Compete to reach the top of an extremely dangerous Himalayan peak.,6.707,7.00,11020,,1–5–,60,8+,2.25 / 5,Adam Kałuża,Jarek Nocoń,"Rebel Sp. z o.o. / Common Man Games / Ediciones MasQueOca / Heidelberger Spieleverlag / IGAMES / Pygmalino / Rebel Studio / Swan Panasia Co., Ltd. / テンデイズゲームズ (TendaysGames) / White Goblin Games",N/A,Adventure / Exploration / Sports,Hand Management / Movement Points / Player Elimination / Point to Point Movement / Push Your Luck / Simultaneous Action Selection / Solo / Solitaire Game / Turn Order: Progressive / Variable Set-up,
908,Smash Up: Awesome Level 9000,2013,"Now you can fight with killer plants, ghosts, steampunk, and bear cavalry!",6.707,7.21,7202,,2,45,12+,2.12 / 5,Paul Peterson,Conceptopolis / Dinobot Illustration,Alderac Entertainment Group / Bard Centrum Gier / Edge Entertainment / Galápagos Jogos / Hobby World / IELLO / Kaissa Chess & Games / Pegasus Spiele / uplay.it edizioni,Todd Rowland / Mark Wootton,Card Game / Fantasy / Horror / Humor / Spies / Secret Agents,Area Majority / Influence / Hand Management / Take That / Variable Player Powers,
909,Between Two Cities,2015,Build a shared city with each of your neighbours. Can you make both thrive?,6.706,6.97,11821,,1–7–,25,14+,1.81 / 5,Matthew O'Malley / Ben Rosset,Beth Sobel,Stonemaier Games / 64 Ounce Games / Arclight Games / Broadway Toys LTD / Ghenos Games / Korea Boardgames / Morning / Reflexshop / SD Games,N/A,City Building / Negotiation,Closed Drafting / Highest-Lowest Scoring / Neighbor Scope / Set Collection / Simultaneous Action Selection / Solo / Solitaire Game / Tile Placement,Reimplemented by: + 0more
910,Evacuation,2023,"Evacuate the planet with spaceships before it burns up, and populate the new world.",6.706,7.48,3812,$39.99,1–4–,60–150–,12+,3.98 / 5,Vladimír Suchý,Michal Peichl,Delicious Games / Arrakis Games / Fox in the Box / Intrafin Games / Jumping Turtle Games / Mosaico Jogos / MTS Games / Pegasus Spiele / Portal Games / Rio Grande Games / 数寄ゲームズ (Suki Games) / Tesla Games / YOKA Games,Vladimír Suchý,Industry / Manufacturing / Racing / Science Fiction / Territory Building,Hand Management / Highest-Lowest Scoring / Income / Pick-up and Deliver / Solo / Solitaire Game,
911,Finca,2009,Use your farmers to acquire produce then deliver it where those goods are needed.,6.706,7.07,8476,$33.44,2–5–,45,10+,2.07 / 5,Wolfgang Sentker / Ralf zur Linde,Vincent Dutrait / Joan Guardiet / Franz Vohwinkel,"Hans im Glück / Pandasaurus Games / Albi / Arclight Games / Devir / Evrikus / Filosofia Éditions / franjos Spieleverlag / Ghenos Games / Giochi Uniti / Lautapelit.fi / Piatnik Distribution / Rio Grande Games / Swan Panasia Co., Ltd.",N/A,Economic / Farming,Contracts / Mancala / Once-Per-Game Abilities / Rondel / Set Collection,
