geek_rating,complexity,min_players,max_players,min_time,max_time,min_suggested_age,publisher_freq,min_time_was_missing,max_time_was_missing,min_suggested_age_was_missing,cat_Abstract Strategy,cat_Action,cat_Adventure,cat_Ancient,cat_Animals,cat_Bluffing,cat_Card Game,cat_Children's Game,cat_City Building,cat_Civilization,cat_Deduction,cat_Dexterity,cat_Dice,cat_Economic,cat_Exploration,cat_Fantasy,cat_Fighting,cat_Horror,cat_Humor,cat_Medieval,cat_Miniatures,cat_Movies,cat_Mythology,cat_Nautical,cat_Negotiation,cat_Novel-based,cat_Party Game,cat_Political,cat_Print & Play,cat_Puzzle,cat_Racing,cat_Radio theme,cat_Real-time,cat_Science Fiction,cat_Sports,cat_TV,cat_Territory Building,cat_Transportation,cat_Wargame,cat_World War II,mec_Action Point Allowance System,mec_Action Points,mec_Area Control,mec_Area Influence,mec_Area Majority,mec_Area Movement,mec_Auction/Bidding,mec_Battle Card Driven,mec_Campaign,mec_Campaign Game,mec_Card Drafting,mec_Co-operative Play,mec_Cooperative Game,mec_Deck,"mec_Deck, Bag, and Pool Building",mec_Dice Rolling,mec_End Game Bonuses,mec_Grid Movement,mec_Hand Management,mec_Hex-and-Counter,mec_Hexagon Grid,mec_Influence,mec_Memory,mec_Mission,mec_Modular Board,mec_Open Drafting,mec_Partnerships,mec_Pattern Building,mec_Pattern Recognition,mec_Pick-up and Deliver,mec_Player Elimination,mec_Point to Point Movement,mec_Pool Building,mec_Press Your Luck,mec_Push Your Luck,mec_Role Playing,mec_Roll,mec_Route/Network Building,mec_Scenario,mec_Secret Unit Deployment,mec_Set Collection,mec_Simulation,mec_Simultaneous Action Selection,mec_Solitaire Game,mec_Solo,mec_Spin and Move,mec_Storytelling,mec_Take That,mec_Tile Placement,mec_Trading,mec_Variable Phase Order,mec_Variable Player Powers,mec_Variable Set-up,mec_Voting,mec_Worker Placement,desc_topic_0,desc_topic_1,desc_topic_2,desc_topic_3,desc_topic_4,desc_topic_5,desc_topic_6,desc_topic_7,desc_topic_8,desc_topic_9,desc_topic_10,desc_topic_11,desc_topic_12,desc_topic_13,desc_topic_14,desc_topic_15,desc_topic_16,desc_topic_17,desc_topic_18,desc_topic_19,desc_topic_20,desc_topic_21,desc_topic_22,desc_topic_23,desc_topic_24,desc_topic_25,desc_topic_26,desc_topic_27,desc_topic_28,desc_topic_29,desc_topic_30,desc_topic_31,desc_topic_32,desc_topic_33,desc_topic_34,desc_topic_35,desc_topic_36,desc_topic_37,desc_topic_38,desc_topic_39,desc_topic_40,desc_topic_41,desc_topic_42,desc_topic_43,desc_topic_44,desc_topic_45,desc_topic_46,desc_topic_47,desc_topic_48,desc_topic_49,desc_topic_50,desc_topic_51,desc_topic_52
8.394,3.86,2,4,60,120,14,0.0014340344168260039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.07800210405435137,0.42568291832428884,-0.05490727734726007,-0.17129053432842412,-0.011920188713924543,-0.07156473392371929,0.042147836581303305,-0.039484416314458724,-0.24635547690915466,-0.15686043743654482,0.039981313382726036,-0.1018379881125098,0.004035715634949449,-0.07595169468150882,0.05853251898279922,0.1909943452274707,0.06938411390602404,-0.11313622605590803,-0.06863725999656307,-0.036553502155229324,0.0024232005873829794,-0.017910217348650396,-0.12179375527659571,0.01979095765243339,-0.10879444176123369,0.0842649146582936,-0.09928702071944223,-0.01132370236875865,-0.05843309550359535,0.009344726560000453,0.016651282589654606,0.01598627178589036,0.025000374026382638,-0.03060913599681815,-0.08196125649913935,-0.016744259476124825,-0.009981917174627394,0.004833434611365817,-0.023359158973928432,-0.006699540477439549,0.05273339104978264,0.02574560899094035,0.01984989174641441,0.02607938673374472,0.04374458458836503,-0.015449200263050206,-0.02595145297741084,0.01475629848834041,-0.005542495353433775,0.03430500907593499,-0.014526579036472354,-0.028504395682222593,-0.01483759877331194
8.354,3.8,1,4,90,150,14,0.0007170172084130019,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0.04516944534499775,0.28134092237601,-0.0820372402284819,-0.07628512601504434,0.06899642711857622,-0.07216865659234838,0.012343975875474287,-0.07158627668128312,-0.017524481527066798,0.032862061815422575,0.00794591165368092,-0.043005728760769975,0.018659248608950317,-0.01322532142762933,-0.032564396569483366,0.020565090364548934,0.0003797385688802,0.01334502978340161,-0.0006424672049140708,0.006298717711041829,0.0028463236480063226,0.019014429182366184,-0.028605808146858282,0.007666459647844368,-0.005170612627251376,-0.011060762327254371,-0.009324850680070414,5.96976803853397e-05,-0.0072282534834755205,-0.00032298520755651454,-0.007157762872223629,-0.01428625720179976,-0.005761635013188832,-0.0077959405967078215,-0.012166826978380412,0.0058901412830429795,-0.0025885694013760077,0.013607566441553627,-0.003286432415430287,0.005077161482616544,0.024766980672525182,0.003010558859193815,0.00916953949491344,-0.0008907159108490237,0.02821372306324947,0.0009529294172770336,-0.00808367484510215,-0.011956619108707482,-0.00041017883470500626,0.005481599206537497,0.013064303090761193,0.0023984172848394323,0.00947452208528558
8.345,2.83,2,4,60,60,13,0.0038240917782026767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0612494534869471,0.06974338947833414,0.07827796039274014,-0.07093572381210246,-0.1578387823695736,0.056369839917199745,0.02468154960449622,0.09458855449851501,-0.20660794238795344,-0.22147200606022194,0.03516126287648612,-0.1398075601148228,-0.11015474627154004,-0.12080115168160827,0.1910715093014197,0.3624250373795986,0.0452216542376306,-0.10810272863002594,0.04850404596967217,-0.022623688386028892,-0.12753752287338,-0.03508571255142266,-0.16746048188621732,0.0780439616301503,0.2724176519872113,-0.2503014789439341,-0.09711879443082491,-0.0031180172359480916,0.03007153576838813,0.10589368809118496,0.147804724605411,0.06294924864937272,0.016788025273348894,-0.08338361339441766,-0.08306119044007217,-0.055187894094891415,-0.07319601992847097,-0.01446173019586657,0.04199515897242942,0.020503408447097846,0.10109186719861776,0.024866647199498153,0.02958063595031828,0.06066429485402103,0.013351910124745894,0.010286864330243995,0.040223173714942884,-0.19211729663618665,0.08828439670671488,-0.06237497072801333,-0.11152027182758026,0.004889548829567644,-0.0025781524349039603
8.296,3.92,1,4,60,120,14,0.0005975143403441683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0.030352874703439815,0.0174688342113887,0.020200040025703584,-0.002134062541387666,-0.032996274623743334,0.01465722554540078,0.0068044188269406145,0.013270168711894747,0.017483525730781643,-0.06464904514101583,0.03677781345398173,-0.05529958329354557,-0.025322688881351106,-0.01251333662370113,0.009356834085111367,-0.02178424337689242,-0.026127441170625893,0.05337752577206719,0.04968041316573517,0.007261870110087049,0.04799156508960423,0.0366554929593369,0.01902659865623233,-0.048153114098431274,0.02078775550950971,-0.011421713625768264,0.017165041818739298,0.008991813048098854,-0.004114708766358982,0.03267184568789333,-0.024887891444921238,-0.01179960042247689,0.042111857284568725,-0.024433199042980167,5.9874023476638076e-05,-0.02150936349535696,0.040342238695365996,0.009034031937692328,-0.04675892092713149,-0.015858979825022258,-0.07598446682679935,0.045251007162439905,0.013636796007231076,-0.14388447761581108,-0.03357537488063901,0.044222959348252,0.0497920626539156,0.06795282400725258,0.15296309424472151,-0.0829165015264831,0.08208668248009576,-0.026368294254792573,0.016272500426045722
8.244,3.52,1,6,60,120,13,0.0004780114722753346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.09660522378156981,0.27328163004151435,-0.036138442069592464,-0.12193311086223137,-0.041089465567580134,-0.07748721948505308,0.005964973535104237,-0.05331628128355473,0.04764571628288297,-0.014793242926634344,0.005776837498898857,0.08779234816978368,0.14163551687775694,0.030683028847136213,-0.0728246118529095,-0.023143983130201374,-0.11008619589755353,0.01341337292733829,-0.14610536770171476,0.055480628774291274,0.08123562441382266,0.12204270059582573,-0.04530716355494555,0.018667084746850943,0.020092574066561435,-0.09790939122883753,-0.021102202734776233,-0.05856393857559188,0.0020941501870500104,0.09641292788253669,0.01748666686640571,-0.033244061874452,-0.07433730051225637,-0.002380477956840734,-0.04729509781886558,0.040981843443196775,-0.03129642137215989,-0.030977332184256415,0.010333167463332784,0.04149803023349323,0.029307498981467166,0.21179863216929729,0.0053636563911248596,0.07110514520067973,-0.1613844361657431,-0.049646054589863,0.021953037389958272,0.02273876997068562,-0.02177542244851588,-0.023201975492402098,0.08567548306374177,-0.04332760868072897,-0.07660640304220298
8.222,3.08,1,4,60,120,14,0.0004780114722753346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0.043187304863507144,0.031082088943002503,0.054198963660204366,-0.030791021271122154,-0.047816952098093,-0.007485000209084463,-0.005537386008534064,-0.0060156986987207174,0.05087135775259669,-0.008195682466376893,-0.0053879553377508115,0.05518750333198615,-0.014889564024924688,0.02441758307776292,0.005055692919922566,-0.027859557944638173,-0.06966506759272273,0.04627305198242832,-0.03479191367362472,-0.038816871425352145,0.011388687130781725,0.05296846714949149,-0.015445207966548016,0.03393969999436261,-0.008909409987418085,-0.047306577617284025,-0.09499758620387527,-0.05991810154488687,-0.02564048938835796,-0.009390806373625089,0.012847910643284013,0.07410060180361445,0.012913642142712803,-5.805035431070103e-05,-0.05646105361664399,0.00013686517777281373,-0.02917589560763296,0.033321744070362154,0.06880949645256189,-0.036913545966978434,0.041548607893080174,-0.035623177620816494,0.050519089968306924,-0.029802363756324685,0.12295070233576247,0.09062169419984384,-0.0889278160510952,0.020697147167043364,-0.039303965923882044,0.02124163365417726,0.043191041190175125,-0.0008952011999776785,0.028391807369458393
8.218,4.35,3,6,240,480,14,0.008006692160611855,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0.05313515661510576,0.35858019389906454,-0.09437002784175492,-0.09686897148545133,0.07686876977270506,-0.07305480580159594,0.011633579728124186,-0.09519098678228255,-0.015362214945968084,-0.008414749276563757,0.009637434826565268,-0.004055550010460053,-0.038315090723725104,0.022180469019046706,-0.04957564325910275,-0.01742174746006607,-0.014137077267009315,-0.024736303239248948,-0.08605055856815085,-0.04816812244212628,-0.03480139190081319,0.062180015227891794,-0.027259793080665222,-0.006426727034496165,0.01714714490612151,0.0759120814963793,-0.0489700998718282,0.008842892079469096,0.055857240066824784,0.117674059975978,0.09198168814186267,-0.01589114281393899,0.019836005596427144,0.1462784348290741,0.15045609136610724,-0.06878190021641642,0.01736313344761806,0.03731628166930757,-0.113902265590943,-0.09723310950214402,-0.09882597505954735,-0.14059214029336514,-0.12543354519805602,0.00705815721194741,0.009201451895829991,-0.05806634236879123,0.08267325762385087,0.03357876216562639,-0.055021889472556616,-0.030301746630071125,-0.08283359653257347,-0.0009057123750525133,-0.048083563470390514
8.201,4.23,2,4,150,240,13,0.0016730401529636712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.022292047245542793,0.010955558807662216,0.014954630872491336,-0.0034543563224593487,-0.025072039566149805,0.0021458725741831117,-0.00290161220288074,-0.005388119208991098,0.02039706523806538,-0.006498289951296749,-0.0010559443384109103,-0.002719681167924468,-0.012838512995199777,-0.004075607716102561,0.027432678838621438,-0.003010188700819017,-0.015957300357429604,0.002864534109636176,-0.007030770475981554,0.0022927130600229467,-0.006265851366738499,0.011250781471638799,0.00425576056941593,0.023285999327681446,-0.0045809601240706845,-0.007549403236512696,0.005413547001497258,0.006066506843542576,0.005765086567669357,0.007535126404076712,-0.01736373132674896,-0.0026464061925978747,-0.014198912894589088,0.002940974932427066,0.012691100418249616,-0.013729537842586244,0.00315656424627115,-0.012723632674908225,0.012140087680800394,-0.01748101617437598,-0.006535871646033853,0.005559438723233386,0.006695188821149381,-0.004814870553041968,-0.006002291511332143,0.02459720660030398,0.003978465958745153,0.0034073532059342663,0.021076657785298117,0.010146626786372702,0.02585533858095703,0.027007074639938677,-0.01094697122229488
8.183,3.27,1,5,120,120,12,0.0005975143403441683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.07876725281009062,0.38650782931847566,-0.11160895397296938,-0.07521259704227877,0.06124653742110223,-0.03366218455940276,-0.00972020073159963,0.0015590158993222178,-0.005560362193940417,-0.05163914664182493,0.020027813314173026,0.06924752986046476,-0.1382345255947108,0.20158068901314974,-0.08064069437927796,0.03206679323937535,0.19957854843078818,0.2148329554561758,-0.2441874837779407,0.24959345000864186,-0.22722921074662272,-0.041023466249895,-0.07053420168046823,-0.14104259285686957,-0.013937189538866634,0.03428408517733308,-0.003844285913984391,-0.09366255550180413,0.13013947019214664,0.08795937943261366,-0.04264989558803919,0.05373707693074349,0.02915027352147776,0.08257862160794921,0.15397002107681895,-0.049007793402574704,0.025259963675772584,-0.04433019025727036,-0.10951020645162168,-0.1269308358316602,-0.05075500944979787,-0.09721826162972355,-0.0435426156229559,0.010081589047507337,-0.0016494665616801248,-0.045254451278641555,0.014145622093058398,0.006066334280826138,-0.0065609236482750445,-0.00878979611887392,-0.08091088080636591,-0.035516427122589164,-0.04531226660487019
8.168,3.75,2,4,180,240,14,0.008006692160611855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.030580667974876196,0.05100608993402571,0.005523911148945261,-0.012711343977308463,-0.01647572625029474,0.0059323934305235675,-0.003563999085087748,-0.02093066724706619,0.010754237711172737,-0.026289025231822753,-0.0012547416833368365,0.003141396717863772,-0.021626258487789485,0.00575974990362831,0.0018666931152873504,0.004017049350908894,-0.01898947574405164,0.014884415469011078,-0.05118110743569687,-0.024719162583590783,-0.044707589246464244,0.040046133372031355,0.0193151376898792,-0.007550042080528395,0.019183643194310658,0.030020283829396487,-0.03643717305329989,-0.024312641761530928,0.0346852011649213,0.08349980410356636,-0.0016713280311495436,0.016294919448432553,0.003380088607565052,0.12072641398624882,0.14611081119389305,-0.004457863730522255,0.03977896636544003,0.0218472925926599,-0.10007066786546635,-0.10932582623420929,-0.05183949428447896,-0.08557108621641808,-0.04824785421110613,-0.005050194363910222,-0.032158904426977775,-0.034043511248843916,0.04395208473653194,0.014928589329454957,-0.032456177244734166,-0.04793779452780247,-0.07198890269785362,-0.009575164976983495,-0.07823264067509837
